Model,Total_Iterations,ODE,ODE_dim,net_size,lr,batch_size,stopping_loss,L1_avg,L2_avg,End_point_L1_avg,End_point_L2_avg
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.0001,0.013375291880962533,0.015588054598986307,0.010498257404548315,0.010536608210774887
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.001,0.021421414075338985,0.03305104698643058,0.010775242051464705,0.01109145163272257
PINN new architecture MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.0001,0.01728246454996065,0.026195075354239577,0.008409890396875527,0.008998345645500283
PINN MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.001,0.8173357090039362,0.8476029703323846,0.8684289026498969,0.8890042104890816
PINN MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,512,0.0001,0.6196383936405636,0.6443688229572396,0.599700184488314,0.6633520545701292
PINN MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.001,0.8090487641119801,0.85345005335918,0.7302122083214885,0.7302173973582698
PINN MLP,6250,Van der Pol Oscillator,2,"(2, 50)",0.01,2048,0.0001,1.2635708856234014,1.3168526343104312,1.2501622405556803,1.280853635295467
PINN MLP,1334,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.001,0.008502542100307469,0.010166251866942495,0.007945281038415818,0.008057870904915556
PINN MLP,1386,Van der Pol Oscillator,2,"(2, 50)",0.001,512,0.0001,0.007153491611293559,0.008450095874339578,0.005500434017163899,0.005922156159486342
PINN MLP,4737,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.001,0.005050896245312979,0.006617545981958406,0.00568404612539449,0.0056924200319034175
PINN MLP,4807,Van der Pol Oscillator,2,"(2, 50)",0.001,2048,0.0001,0.00517210992636879,0.007047958772801613,0.002188222999108222,0.0028474624615756968
PINN MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.001,0.70911146482622,0.7329268747508225,0.7156457770109351,0.79070087433116
PINN MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,512,0.0001,0.9743968056060377,1.0193181142564427,1.0609989631414587,1.065517885679236
PINN MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.001,0.8263707863320389,0.858616781963469,0.8812910485506232,0.8926340053944962
PINN MLP,6250,Van der Pol Oscillator,2,"(3, 50)",0.01,2048,0.0001,0.4341544077404395,0.5388706736594062,0.31908846827747184,0.45096771607127817
PINN MLP,2603,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.001,0.00805478435588871,0.00928689046795976,0.007538573867065099,0.007560634868550259
PINN MLP,1879,Van der Pol Oscillator,2,"(3, 50)",0.001,512,0.0001,0.007973788323163736,0.009400342031967652,0.008866475014371065,0.009600185948880895
PINN MLP,6090,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.001,0.00678460740748529,0.010218123850666597,0.0023334073409263163,0.0031689582825859043
PINN MLP,4258,Van der Pol Oscillator,2,"(3, 50)",0.001,2048,0.0001,0.007088416500958757,0.011133640020607563,0.0024451162241224318,0.0030143990918246313
PINN MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.001,0.5364814492049468,0.579562472006085,0.48090379866363364,0.5635198832658217
PINN MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,512,0.0001,0.6288010825851672,0.6485734946147161,0.6228301990270789,0.6455489687027749
PINN MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.001,0.6074738950222606,0.78034573163662,0.5672239545079106,0.7689432853332439
